Year,Player,AS.Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality,,AllStar
2007,Brandon Roy,G,06-Jun,211,Portland Trail Blazers,Western All-Star Coaches Selection,2006 Rnd 1 Pick 6,United States,,1
2007,Amar'e Stoudemire,FC,10-Jun,245,Phoenix Suns,Western All-Star Coaches Selection,2002 Rnd 1 Pick 9,United States,,1
2007,David West,PF,09-Jun,250,New Orleans Hornets,Western All-Star Coaches Selection,2003 Rnd 1 Pick 18,United States,,1
2007,Allen Iverson,G,Jun-00,165,Denver Nuggets,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States,,1
2007,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2007,Carmelo Anthony,F,08-Jun,240,Denver Nuggets,Western All-Star Fan Vote Selection,2003 Rnd 1 Pick 3,United States,,1
2007,Tim Duncan,FC,11-Jun,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States,,1
2007,Yao Ming,C,06-Jul,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China,,1
2007,Jason Kidd,PG,04-Jun,210,New Jersey Nets,Eastern All-Star Fan Vote Selection,1994 Rnd 1 Pick 2,United States,,1
2007,Dwyane Wade,SG,04-Jun,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States,,1
2007,LeBron James,F,08-Jun,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States,,1
2007,Kevin Garnett,PF,11-Jun,240,Boston Celtics,Eastern All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States,,1
2007,Dwight Howard,C,11-Jun,265,Orlando Magic,Eastern All-Star Fan Vote Selection,2004 Rnd 1 Pick 1,United States,,1
2007,Chauncey Billups,G,03-Jun,210,Detroit Pistons,Eastern All-Star Coaches Selection,1997 Rnd 1 Pick 3,United States,,1
2007,Chris Bosh,PF,11-Jun,235,Toronto Raptors,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States,,1
2007,Caron Butler,SF,07-Jun,228,Washington Wizards,Eastern All-Star Coaches Selection,2002 Rnd 1 Pick 10,United States,,1
2007,Richard Hamilton,SG,07-Jun,193,Detroit Pistons,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 7,United States,,1
2007,Antawn Jamison,F,09-Jun,235,Washington Wizards,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 4,United States,,1
2007,Joe Johnson,SG,07-Jun,240,Atlanta Hawks,Eastern All-Star Coaches Selection,2001 Rnd 1 Pick 10,United States,,1
2007,Paul Pierce,SF,07-Jun,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States,,1
2007,Ray Allen,SG,05-Jun,205,Boston Celtics,Eastern All-Star Replacement Selection,1996 Rnd 1 Pick 5,United States,,1
2007,Rasheed Wallace,FC,11-Jun,230,Detroit Pistons,Eastern All-Star Replacement Selection,1995 Rnd 1 Pick 4,United States,,1
2006,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2006,Tracy McGrady,GF,08-Jun,210,Houston Rockets,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States,,1
2006,Kevin Garnett,PF,11-Jun,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States,,1
2006,Tim Duncan,FC,11-Jun,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States,,1
2006,Yao Ming,C,06-Jul,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China,,1
2006,Steve Nash,G,03-Jun,178,Phoenix Suns,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa",,1
2006,Amar'e Stoudemire,FC,10-Jun,245,Phoenix Suns,Western All-Star Coaches Selection,2002 Rnd 1 Pick 9,United States,,1
2006,Carlos Boozer,PF,09-Jun,266,Utah Jazz,Western All-Star Coaches Selection,2002 Rnd 2 Pick 6,"Germany
United States",,1
2006,Tony Parker,G,02-Jun,185,San Antonio Spurs,Western All-Star Coaches Selection,2001 Rnd 1 Pick 28,France,,1
2006,Allen Iverson,G,Jun-00,165,Denver Nuggets,Western All-Star Coaches Selection,1996 Rnd 1 Pick 1,United States,,1
2006,Shawn Marion,F,07-Jun,228,Phoenix Suns,Western All-Star Coaches Selection,1999 Rnd 1 Pick 9,United States,,1
2006,Dirk Nowitzki,PF,Jul-00,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany,,1
2006,Ray Allen,SG,05-Jun,205,Seattle SuperSonics,Western All-Star Replacement Selection,1996 Rnd 1 Pick 5,United States,,1
2006,Carmelo Anthony,F,08-Jun,240,Denver Nuggets,Western All-Star Replacement Selection,2003 Rnd 1 Pick 3,United States,,1
2006,Josh Howard,GF,07-Jun,210,Dallas Mavericks,Western All-Star Replacement Selection,2003 Rnd 1 Pick 29,United States,,1
2006,Mehmet Okur,FC,11-Jun,249,Utah Jazz,Western All-Star Replacement Selection,2001 Rnd 2 Pick 9,Turkey,,1
2006,Gilbert Arenas,G,03-Jun,191,Washington Wizards,Eastern All-Star Fan Vote Selection,2001 Rnd 2 Pick 2,United States,,1
2006,Dwyane Wade,SG,04-Jun,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States,,1
2006,LeBron James,F,08-Jun,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States,,1
2006,Chris Bosh,PF,11-Jun,235,Toronto Raptors,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 4,United States,,1
2006,Shaquille O'Neal,C,01-Jul,325,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States,,1
2006,Chauncey Billups,G,03-Jun,210,Detroit Pistons,Eastern All-Star Coaches Selection,1997 Rnd 1 Pick 3,United States,,1
2006,Caron Butler,SF,07-Jun,228,Washington Wizards,Eastern All-Star Coaches Selection,2002 Rnd 1 Pick 10,United States,,1
2006,Vince Carter,SF,06-Jun,220,New Jersey Nets,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 5,United States,,1
2006,Richard Hamilton,SG,07-Jun,193,Detroit Pistons,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 7,United States,,1
2006,Dwight Howard,C,11-Jun,265,Orlando Magic,Eastern All-Star Coaches Selection,2004 Rnd 1 Pick 1,United States,,1
2006,Jason Kidd,PG,04-Jun,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States,,1
2006,Jermaine O'Neal,FC,11-Jun,235,Indiana Pacers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 17,United States,,1
2006,Joe Johnson,SG,07-Jun,240,Atlanta Hawks,Eastern All-Star Replacement Selection,2001 Rnd 1 Pick 10,United States,,1
2005,Steve Nash,G,03-Jun,178,Phoenix Suns,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 15,"Canada
South Africa",,1
2005,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2005,Tracy McGrady,GF,08-Jun,210,Houston Rockets,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States,,1
2005,Tim Duncan,FC,11-Jun,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States,,1
2005,Yao Ming,C,06-Jul,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China,,1
2005,Ray Allen,SG,05-Jun,205,Seattle SuperSonics,Western All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States,,1
2005,Elton Brand,PF,09-Jun,254,Los Angeles Clippers,Western All-Star Coaches Selection,1999 Rnd 1 Pick 1,United States,,1
2005,Kevin Garnett,PF,11-Jun,240,Minnesota Timberwolves,Western All-Star Coaches Selection,1995 Rnd 1 Pick 5,United States,,1
2005,Pau Gasol,FC,Jul-00,250,Memphis Grizzlies,Western All-Star Coaches Selection,2001 Rnd 1 Pick 3,Spain,,1
2005,Shawn Marion,F,07-Jun,228,Phoenix Suns,Western All-Star Coaches Selection,1999 Rnd 1 Pick 9,United States,,1
2005,Dirk Nowitzki,PF,Jul-00,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany,,1
2005,Tony Parker,G,02-Jun,185,San Antonio Spurs,Western All-Star Coaches Selection,2001 Rnd 1 Pick 28,France,,1
2005,Allen Iverson,G,Jun-00,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States,,1
2005,Dwyane Wade,SG,04-Jun,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States,,1
2005,LeBron James,F,08-Jun,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States,,1
2005,Shaquille O'Neal,C,01-Jul,325,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States,,1
2005,Jermaine O'Neal,FC,11-Jun,235,Indiana Pacers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 17,United States,,1
2005,Chauncey Billups,G,03-Jun,210,Detroit Pistons,Eastern All-Star Coaches Selection,1997 Rnd 1 Pick 3,United States,,1
2005,Chris Bosh,PF,11-Jun,235,Toronto Raptors,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States,,1
2005,Vince Carter,SF,06-Jun,220,New Jersey Nets,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 5,United States,,1
2005,Richard Hamilton,SG,07-Jun,193,Detroit Pistons,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 7,United States,,1
2005,Paul Pierce,SF,07-Jun,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States,,1
2005,Ben Wallace,FC,09-Jun,240,Detroit Pistons,Eastern All-Star Coaches Selection,"1996 NBA Draft, Undrafted",United States,,1
2005,Rasheed Wallace,FC,11-Jun,230,Detroit Pistons,Eastern All-Star Coaches Selection,1995 Rnd 1 Pick 4,United States,,1
2005,Gilbert Arenas,G,03-Jun,191,Washington Wizards,Eastern All-Star Replacement Selection,2001 Rnd 2 Pick 2,United States,,1
2004,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2004,Tracy McGrady,GF,08-Jun,210,Houston Rockets,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States,,1
2004,Kevin Garnett,PF,11-Jun,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States,,1
2004,Tim Duncan,FC,11-Jun,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States,,1
2004,Yao Ming,C,06-Jul,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China,,1
2004,Manu Ginobili,SG,06-Jun,205,San Antonio Spurs,Western All-Star Coaches Selection,1999 Rnd 2 Pick 28,Argentina,,1
2004,Amar'e Stoudemire,FC,10-Jun,245,Phoenix Suns,Western All-Star Coaches Selection,2002 Rnd 1 Pick 9,United States,,1
2004,Ray Allen,SG,05-Jun,205,Seattle SuperSonics,Western All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States,,1
2004,Shawn Marion,F,07-Jun,228,Phoenix Suns,Western All-Star Coaches Selection,1999 Rnd 1 Pick 9,United States,,1
2004,Steve Nash,G,03-Jun,178,Phoenix Suns,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa",,1
2004,Dirk Nowitzki,PF,Jul-00,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany,,1
2004,Rashard Lewis,F,10-Jun,235,Seattle SuperSonics,Western All-Star Coaches Selection,1998 Rnd 2 Pick 3,United States,,1
2004,Allen Iverson,G,Jun-00,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States,,1
2004,LeBron James,F,08-Jun,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States,,1
2004,Vince Carter,SF,06-Jun,220,New Jersey Nets,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States,,1
2004,Shaquille O'Neal,C,01-Jul,325,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States,,1
2004,Grant Hill,SF,08-Jun,225,Orlando Magic,Eastern All-Star Fan Vote Selection,1994 Rnd 1 Pick 3,United States,,1
2004,Gilbert Arenas,G,03-Jun,191,Washington Wizards,Eastern All-Star Coaches Selection,2001 Rnd 2 Pick 2,United States,,1
2004,Antawn Jamison,F,09-Jun,235,Washington Wizards,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 4,United States,,1
2004,Dwyane Wade,SG,04-Jun,220,Miami Heat,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 5,United States,,1
2004,Zydrunas Ilgauskas,C,03-Jul,260,Cleveland Cavaliers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 20,Lithuania,,1
2004,Jermaine O'Neal,FC,11-Jun,235,Indiana Pacers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 17,United States,,1
2004,Ben Wallace,FC,09-Jun,240,Detroit Pistons,Eastern All-Star Coaches Selection,"1996 NBA Draft, Undrafted",United States,,1
2004,Paul Pierce,SF,07-Jun,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States,,1
2003,Steve Francis,G,03-Jun,195,Houston Rockets,Western All-Star Fan Vote Selection,1999 Rnd 1 Pick 2,United States,,1
2003,Yao Ming,C,06-Jul,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China,,1
2003,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2003,Kevin Garnett,PF,11-Jun,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States,,1
2003,Tim Duncan,FC,11-Jun,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States,,1
2003,Shaquille O'Neal,C,01-Jul,325,Los Angeles Lakers,Western All-Star Coaches Selection,1992 Rnd 1 Pick 1,United States,,1
2003,Andrei Kirilenko,PF,09-Jun,235,Utah Jazz,Western All-Star Coaches Selection,1999 Rnd 1 Pick 24,Russia,,1
2003,Dirk Nowitzki,PF,Jul-00,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany,,1
2003,Peja Stojakovic,F,10-Jun,229,Sacramento Kings,Western All-Star Coaches Selection,1996 Rnd 1 Pick 14,"Serbia
Greece",,1
2003,Ray Allen,SG,05-Jun,205,Seattle SuperSonics,Western All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States,,1
2003,Brad Miller,C,Jul-00,261,Sacramento Kings,Western All-Star Coaches Selection,"1998 NBA Draft, Undrafted",United States,,1
2003,Sam Cassell,G,03-Jun,185,Minnesota Timberwolves,Western All-Star Coaches Selection,1993 Rnd 1 Pick 24,United States,,1
2003,Ben Wallace,FC,09-Jun,240,Detroit Pistons,Eastern All-Star Fan Vote Selection,"1996 NBA Draft, Undrafted",United States,,1
2003,Jermaine O'Neal,FC,11-Jun,235,Indiana Pacers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 17,United States,,1
2003,Tracy McGrady,GF,08-Jun,210,Orlando Magic,Eastern All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States,,1
2003,Allen Iverson,G,Jun-00,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States,,1
2003,Vince Carter,SF,06-Jun,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States,,1
2003,Jason Kidd,PG,04-Jun,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States,,1
2003,Paul Pierce,SF,07-Jun,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States,,1
2003,Baron Davis,G,03-Jun,215,New Orleans Hornets,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 3,United States,,1
2003,Metta World Peace,SF,07-Jun,260,Indiana Pacers,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 16,United States,,1
2003,Michael Redd,G,06-Jun,220,Milwaukee Bucks,Eastern All-Star Coaches Selection,2000 Rnd 2 Pick 14,United States,,1
2003,Kenyon Martin,F,09-Jun,240,New Jersey Nets,Eastern All-Star Coaches Selection,2000 Rnd 1 Pick 1,United States,,1
2003,Jamaal Magloire,C,11-Jun,259,New Orleans Hornets,Eastern All-Star Coaches Selection,2000 Rnd 1 Pick 19,Canada,,1
2002,Ben Wallace,FC,09-Jun,240,Detroit Pistons,Eastern All-Star Fan Vote Selection,"1996 NBA Draft, Undrafted",United States,,1
2002,Jermaine O'Neal,FC,11-Jun,235,Indiana Pacers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 17,United States,,1
2002,Tracy McGrady,GF,08-Jun,210,Orlando Magic,Eastern All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States,,1
2002,Allen Iverson,G,Jun-00,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States,,1
2002,Jason Kidd,PG,04-Jun,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States,,1
2002,Paul Pierce,SF,07-Jun,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States,,1
2002,Antoine Walker,F,09-Jun,265,Boston Celtics,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 6,United States,,1
2002,Zydrunas Ilgauskas,C,03-Jul,260,Cleveland Cavaliers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 20,Lithuania,,1
2002,Michael Jordan,SG,06-Jun,215,Washington Wizards,Eastern All-Star Fan Vote Selection,1984 Rnd 1 Pick 3,United States,,1
2002,Jamal Mashburn,SF,08-Jun,247,New Orleans Hornets,Eastern All-Star Coaches Selection,1993 Rnd 1 Pick 4,United States,,1
2002,Vince Carter,SF,06-Jun,220,Toronto Raptors,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 5,United States,,1
2002,Brad Miller,C,Jul-00,261,Indiana Pacers,Eastern All-Star Coaches Selection,"1998 NBA Draft, Undrafted",United States,,1
2002,Steve Francis,G,03-Jun,195,Houston Rockets,Western All-Star Fan Vote Selection,1999 Rnd 1 Pick 2,United States,,1
2002,Yao Ming,C,06-Jul,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China,,1
2002,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2002,Kevin Garnett,PF,11-Jun,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States,,1
2002,Tim Duncan,FC,11-Jun,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States,,1
2002,Shaquille O'Neal,C,01-Jul,325,Los Angeles Lakers,Western All-Star Coaches Selection,1992 Rnd 1 Pick 1,United States,,1
2002,Stephon Marbury,G,02-Jun,180,Phoenix Suns,Western All-Star Coaches Selection,1996 Rnd 1 Pick 4,United States,,1
2002,Shawn Marion,F,07-Jun,228,Phoenix Suns,Western All-Star Coaches Selection,1999 Rnd 1 Pick 9,United States,,1
2002,Steve Nash,G,03-Jun,178,Dallas Mavericks,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa",,1
2002,Dirk Nowitzki,PF,Jul-00,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany,,1
2002,Gary Payton,G,04-Jun,180,Seattle SuperSonics,Western All-Star Coaches Selection,1990 Rnd 1 Pick 2,United States,,1
